message_id,conversation_id,seq,role,text,resolved_context_json,queries_run_json,figures_json,llm_provider,status,guardrail_status,guardrail_json,created_at,data_source
2de88476d8e6|1,2de88476d8e6,1,USER,Why did revenue drop in June?,,,,,OK,PASS,,2026-07-25 15:21:19,DERIVED
2de88476d8e6|2,2de88476d8e6,2,ASSISTANT,"SMPL001 · Sample Advisor One credited revenue fell $33,360 (43.8%) May 2026→June 2026. Largest drivers: Structured products ($40,500) (One-Time); MAC $7,000 (Timing); Unified Managed Account ($6,290) (Household); Unified Managed Account ($4,678) (Average Transaction Value).","{""advisor_sid"": ""SMPL001"", ""from_month"": ""202605"", ""to_month"": ""202606"", ""group_id"": """", ""measure"": ""credited"", ""sources"": {""advisor_sid"": ""conversation"", ""from_month"": ""question"", ""to_month"": ""question"", ""measure"": ""default""}, ""intent"": ""WHY_CHANGE"", ""chip"": ""Sample Advisor One \u00b7 May\u2192Jun \u00b7 credited"", ""pinned"": false}","[{""query"": ""get_revenue_changes"", ""params"": {""advisor_id"": ""SMPL001"", ""from_month"": ""202605"", ""to_month"": ""202606""}, ""rows"": 12}, {""query"": ""get_change_drivers"", ""params"": {""advisor_id"": ""SMPL001"", ""from_month"": ""202605"", ""to_month"": ""202606"", ""result_limit"": 100}, ""rows"": 28}]","[{""label"": ""Total change May 2026\u2192June 2026"", ""value"": -33360.3, ""formatted"": ""($33,360)"", ""source_query"": ""get_revenue_changes"", ""provenance"": ""DERIVED""}, {""label"": ""Total change %"", ""value"": -43.81, ""formatted"": ""(43.8%)"", ""source_query"": ""get_revenue_changes"", ""provenance"": ""DERIVED""}, {""label"": ""Structured products \u2014 One-Time"", ""value"": -40500.0, ""formatted"": ""($40,500)"", ""source_query"": ""get_change_drivers"", ""provenance"": ""REAL""}, {""label"": ""MAC \u2014 Timing"", ""value"": 7000.0, ""formatted"": ""$7,000"", ""source_query"": ""get_change_drivers"", ""provenance"": ""REAL""}, {""label"": ""Unified Managed Account \u2014 Household"", ""value"": -6290.0, ""formatted"": ""($6,290)"", ""source_query"": ""get_change_drivers"", ""provenance"": ""DERIVED""}, {""label"": ""Unified Managed Account \u2014 Average Transaction Value"", ""value"": -4678.18, ""formatted"": ""($4,678)"", ""source_query"": ""get_change_drivers"", ""provenance"": ""REAL""}]",mock (deterministic fallback),OK,PASS,,2026-07-25 15:21:19,DERIVED
2de88476d8e6|3,2de88476d8e6,3,USER,Which accounts drove it?,,,,,OK,PASS,,2026-07-25 15:21:19,DERIVED
2de88476d8e6|4,2de88476d8e6,4,ASSISTANT,[mock-llm 3d941913] { — Deterministic draft based on: no structured signals. Switch LLM_CLIENT_MODE=claude to spot-check real model output with identical inputs.,"{""advisor_sid"": ""SMPL001"", ""from_month"": ""202605"", ""to_month"": ""202606"", ""group_id"": """", ""measure"": ""credited"", ""sources"": {""advisor_sid"": ""conversation"", ""from_month"": ""inherited"", ""to_month"": ""inherited"", ""measure"": ""inherited""}, ""intent"": ""TRANSACTIONS"", ""chip"": ""Sample Advisor One \u00b7 May\u2192Jun \u00b7 credited"", ""pinned"": false}","[{""query"": ""get_transactions"", ""params"": {""advisor_id"": ""SMPL001"", ""month_id"": ""202606"", ""group_id"": """", ""result_limit"": 10000}, ""rows"": 33}]","[{""label"": ""Account SMPLACCT-1101 \u2014 UMA Pay-Type Summary"", ""value"": 20000.0, ""formatted"": ""$20,000"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1102 \u2014 MAC Quarterly Fee"", ""value"": 7000.0, ""formatted"": ""$7,000"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1104 \u2014 UMA Advisory Fee"", ""value"": 6420.0, ""formatted"": ""$6,420"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1103 \u2014 UMA Advisory Fee"", ""value"": 6290.0, ""formatted"": ""$6,290"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1102 \u2014 UMA Advisory Fee"", ""value"": 6160.0, ""formatted"": ""$6,160"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1101 \u2014 UMA Advisory Fee"", ""value"": 6030.0, ""formatted"": ""$6,030"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Transaction count"", ""value"": 33, ""formatted"": ""33"", ""source_query"": ""get_transactions"", ""provenance"": ""DERIVED""}]",mock,OK,PASS,,2026-07-25 15:21:19,DERIVED
37bb41f3d98b|1,37bb41f3d98b,1,USER,Which accounts drove it?,,,,,OK,PASS,,2026-07-25 15:21:38,DERIVED
37bb41f3d98b|2,37bb41f3d98b,2,ASSISTANT,"Largest transactions by credited amount for SMPL001 · Sample Advisor One in July 2026 (all product groups): SMPLACCT-1101 $20,000; SMPLACCT-1101 $17,650; SMPLACCT-1101 $16,500; SMPLACCT-1101 $15,350; SMPLACCT-1101 $14,200; SMPLACCT-1103 $6,290. 33 rows in total.","{""advisor_sid"": ""SMPL001"", ""from_month"": ""202606"", ""to_month"": ""202607"", ""group_id"": """", ""measure"": ""credited"", ""sources"": {""advisor_sid"": ""conversation"", ""from_month"": ""default"", ""to_month"": ""default"", ""measure"": ""default""}, ""intent"": ""TRANSACTIONS"", ""chip"": ""Sample Advisor One \u00b7 Jun\u2192Jul \u00b7 credited"", ""pinned"": false}","[{""query"": ""get_transactions"", ""params"": {""advisor_id"": ""SMPL001"", ""month_id"": ""202607"", ""group_id"": """", ""result_limit"": 10000}, ""rows"": 33}]","[{""label"": ""Account SMPLACCT-1101 \u2014 UMA Pay-Type Summary"", ""value"": 20000.0, ""formatted"": ""$20,000"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1101 \u2014 Structured Product Syndicate"", ""value"": 17650.0, ""formatted"": ""$17,650"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1101 \u2014 Structured Product Syndicate"", ""value"": 16500.0, ""formatted"": ""$16,500"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1101 \u2014 Structured Product Syndicate"", ""value"": 15350.0, ""formatted"": ""$15,350"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1101 \u2014 Structured Product Syndicate"", ""value"": 14200.0, ""formatted"": ""$14,200"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1103 \u2014 UMA Advisory Fee"", ""value"": 6290.0, ""formatted"": ""$6,290"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Transaction count"", ""value"": 33, ""formatted"": ""33"", ""source_query"": ""get_transactions"", ""provenance"": ""DERIVED""}]",mock (deterministic fallback),OK,PASS,,2026-07-25 15:21:38,DERIVED
287935e8b493|1,287935e8b493,1,USER,Which accounts drove it?,,,,,OK,PASS,,2026-07-25 15:22:20,DERIVED
287935e8b493|2,287935e8b493,2,ASSISTANT,"Largest transactions by credited amount for SMPL001 · Sample Advisor One in July 2026 (all product groups): SMPLACCT-1101 $20,000; SMPLACCT-1101 $17,650; SMPLACCT-1101 $16,500; SMPLACCT-1101 $15,350; SMPLACCT-1101 $14,200; SMPLACCT-1103 $6,290. 33 rows in total.","{""advisor_sid"": ""SMPL001"", ""from_month"": ""202606"", ""to_month"": ""202607"", ""group_id"": """", ""measure"": ""credited"", ""sources"": {""advisor_sid"": ""conversation"", ""from_month"": ""default"", ""to_month"": ""default"", ""measure"": ""default""}, ""intent"": ""TRANSACTIONS"", ""chip"": ""Sample Advisor One \u00b7 Jun\u2192Jul \u00b7 credited"", ""pinned"": false}","[{""query"": ""get_transactions"", ""params"": {""advisor_id"": ""SMPL001"", ""month_id"": ""202607"", ""group_id"": """", ""result_limit"": 10000}, ""rows"": 33}]","[{""label"": ""Account SMPLACCT-1101 \u2014 UMA Pay-Type Summary"", ""value"": 20000.0, ""formatted"": ""$20,000"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1101 \u2014 Structured Product Syndicate"", ""value"": 17650.0, ""formatted"": ""$17,650"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1101 \u2014 Structured Product Syndicate"", ""value"": 16500.0, ""formatted"": ""$16,500"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1101 \u2014 Structured Product Syndicate"", ""value"": 15350.0, ""formatted"": ""$15,350"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1101 \u2014 Structured Product Syndicate"", ""value"": 14200.0, ""formatted"": ""$14,200"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Account SMPLACCT-1103 \u2014 UMA Advisory Fee"", ""value"": 6290.0, ""formatted"": ""$6,290"", ""source_query"": ""get_transactions"", ""provenance"": ""REAL""}, {""label"": ""Transaction count"", ""value"": 33, ""formatted"": ""33"", ""source_query"": ""get_transactions"", ""provenance"": ""DERIVED""}]",mock (deterministic fallback),OK,PASS,,2026-07-25 15:22:20,DERIVED
53e5b862d849|1,53e5b862d849,1,USER,Which advisor had the biggest drop?,,,,,OK,PASS,,2026-07-25 18:24:21,DERIVED
53e5b862d849|2,53e5b862d849,2,ASSISTANT,"This conversation is scoped to advisor Sample Advisor One (SMPL001), so I can't look at another advisor's data here. To ask about a different advisor, open that advisor's screen and start a new conversation.","{""advisor_sid"": """", ""from_month"": ""202606"", ""to_month"": ""202607"", ""group_id"": """", ""measure"": ""credited"", ""sources"": {""advisor_sid"": ""question"", ""from_month"": ""screen"", ""to_month"": ""screen"", ""measure"": ""default""}, ""intent"": ""COMPARE_ADVISORS"", ""chip"": ""All advisors \u00b7 Jun\u2192Jul \u00b7 credited"", ""pinned"": false}",,,,OUT_OF_SCOPE,PASS,,2026-07-25 18:24:21,DERIVED
